Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Calendar Year (Jan-Dec),DJF,MAM,JJA,SON,Climate Year [1] (Dec-Nov),Climate Year [2] (Nov-Oct),Water Year (Oct-Sep),NDJFM,MJJAS
1957,-5.1,4.8,1.3,2.4,0.2,3.0,-1.0,-2.3,1.0,-1.0,2.3,5.3,0.9,1.4,1.3,-0.1,0.8,0.8,0.7,0.9,1.3,0.2
1958,1.5,-4.6,1.0,2.0,-2.4,-4.4,0.0,-0.5,-0.4,-1.2,1.4,-8.3,-1.3,0.7,0.2,-1.6,-0.1,-0.2,-0.1,-0.1,1.1,-1.5
1959,-1.1,-1.9,-1.7,1.7,3.4,0.0,1.5,3.3,3.3,1.3,-0.7,2.9,1.0,-3.8,1.1,1.6,1.3,0.1,0.2,0.0,-2.3,2.3
1960,1.9,4.4,-8.1,3.0,1.6,0.0,-2.2,0.7,1.1,-1.1,2.5,-5.2,-0.1,3.1,-1.2,-0.5,0.8,0.6,0.3,0.5,0.1,0.2
1961,-5.9,2.1,0.3,-2.7,-2.6,-0.2,-0.4,0.7,6.3,2.7,1.6,0.6,0.2,-3.0,-1.7,0.0,3.5,-0.3,-0.2,-0.5,-1.2,0.8
1962,-0.8,-2.7,0.4,0.3,1.7,0.7,-3.4,-0.6,-3.1,-0.1,-2.7,-3.4,-1.1,-1.0,0.8,-1.1,-2.0,-0.8,-0.4,-0.2,-0.2,-0.9
1963,-1.9,-6.3,0.8,0.0,-1.4,0.7,0.4,-2.7,-3.9,4.5,4.2,-7.1,-1.1,-3.9,-0.2,-0.5,1.6,-0.8,-1.3,-1.7,-2.7,-1.4
1964,2.5,-0.9,1.3,-0.6,2.6,-0.4,0.9,-3.5,-1.2,-2.2,1.8,1.0,0.1,-1.8,1.1,-1.0,-0.5,-0.6,-0.4,0.2,0.0,-0.3
1965,-2.6,-0.4,-2.1,-2.6,2.9,-0.9,-2.7,-0.3,1.1,-2.1,-1.2,3.2,-0.6,-0.7,-0.6,-1.3,-0.7,-0.8,-0.6,-0.6,-0.5,0.0
1966,-1.0,0.7,1.8,-2.4,-3.3,0.7,0.6,0.6,-2.6,-1.6,2.8,1.0,-0.2,1.0,-1.3,0.6,-0.5,-0.0,-0.4,-0.4,0.7,-0.8
1967,5.5,-4.3,-3.2,-0.6,-6.8,2.5,-0.3,-0.3,-1.4,0.0,-3.6,2.1,-0.9,0.7,-3.5,0.6,-1.7,-1.0,-0.4,-0.6,0.4,-1.3
1968,-5.1,-4.1,2.5,3.6,-2.8,-1.1,0.7,-0.1,1.9,2.3,-0.8,-2.3,-0.4,-2.4,1.1,-0.2,1.1,-0.1,-0.3,-0.5,-1.6,-0.3
1969,0.1,1.2,-2.2,1.4,-0.4,0.6,-1.0,1.3,0.2,-0.8,0.4,-1.9,-0.1,-0.3,-0.4,0.3,-0.1,-0.1,-0.2,0.0,-0.8,0.1
1970,-7.7,0.0,-2.5,0.4,1.8,-0.2,0.6,1.4,1.6,2.7,2.4,-2.4,-0.2,-3.2,-0.1,0.6,2.2,-0.1,-0.3,-0.6,-2.3,1.0
1971,-5.2,1.4,-2.4,-2.5,-1.6,1.2,-1.1,-0.4,3.3,5.6,-1.4,3.3,0.0,-2.1,-2.2,-0.1,2.5,-0.5,-0.1,-0.4,-1.2,0.3
1972,2.0,-2.4,-3.0,-3.7,0.9,-2.1,0.0,-0.9,0.6,-4.3,-2.7,1.9,-1.1,1.0,-1.9,-1.0,-2.1,-1.0,-0.9,-0.1,-0.3,-0.3
1973,3.4,-0.7,6.9,1.6,-2.5,2.6,1.1,3.4,0.2,1.7,1.2,3.7,1.9,1.5,2.0,2.4,1.0,1.7,1.4,0.9,1.8,1.0
1974,3.2,-0.8,0.2,1.9,-2.6,-1.0,-0.7,0.7,-1.7,-4.3,1.0,3.2,-0.1,2.0,-0.2,-0.3,-1.7,-0.0,-0.0,0.5,1.5,-1.1
1975,4.1,2.2,-1.9,-4.8,4.1,0.6,1.3,1.2,-2.7,2.3,5.4,-0.6,0.9,3.2,-0.9,1.0,1.7,1.2,0.9,0.3,1.7,0.9
1976,-4.8,6.3,2.9,2.8,-1.6,3.2,-2.3,-0.9,-1.9,-4.1,-4.6,-6.1,-0.9,0.3,1.4,0.0,-3.5,-0.5,0.4,0.9,1.8,-0.7
1977,-8.9,0.7,6.1,1.8,2.8,-2.1,0.3,0.2,0.3,-1.4,3.0,-1.3,0.1,-4.8,3.6,-0.5,0.6,-0.3,-0.9,-1.1,-2.6,0.3
1978,-2.8,-6.9,-3.5,-1.8,0.7,-0.4,-1.1,1.6,-1.8,-1.9,0.4,1.1,-1.4,-3.7,-1.5,0.0,-1.1,-1.6,-1.3,-1.3,-2.3,-0.2
1979,0.0,-8.6,4.7,0.0,1.3,-0.8,0.3,-0.4,-0.5,-0.5,4.7,4.0,0.3,-2.5,2.0,-0.3,1.2,0.1,-0.3,-0.4,-0.5,-0.0
1980,1.7,-2.5,-1.3,1.6,1.3,-2.4,0.6,3.0,0.9,-2.9,-2.6,-4.7,-0.6,1.1,0.5,0.4,-1.5,0.1,0.7,0.9,1.3,0.7
1981,-6.9,7.7,0.7,3.2,0.9,0.9,0.3,-0.5,-1.3,-3.2,0.5,0.9,0.3,-1.3,1.6,0.2,-1.3,-0.2,-0.5,-0.4,-1.2,0.1
1982,-7.6,0.4,-0.8,-2.2,2.4,-2.6,0.0,-2.8,0.1,0.4,3.8,7.2,-0.1,-2.1,-0.2,-1.8,1.4,-0.7,-0.9,-1.2,-1.3,-0.6
1983,2.5,3.7,3.4,-0.1,-2.1,1.1,1.2,2.2,2.0,0.3,1.7,-2.1,1.2,4.5,0.4,1.5,1.3,1.9,2.1,2.1,4.1,0.9
1984,-3.3,8.7,-5.7,0.6,-2.0,1.2,-0.9,2.4,-2.4,3.5,0.2,6.5,0.7,1.1,-2.4,0.9,0.4,0.0,0.1,-0.1,-0.1,-0.3
1985,-4.0,2.3,2.2,2.6,1.4,-2.9,-0.6,-0.4,1.4,1.2,3.0,-2.9,0.3,1.6,2.1,-1.3,1.9,1.1,0.8,1.0,1.4,-0.2
1986,1.5,-0.2,2.4,3.5,2.7,-1.2,-0.6,-1.5,-1.2,0.1,-2.0,2.7,0.5,-0.5,2.9,-1.1,-1.0,0.0,0.5,0.6,0.8,-0.4
1987,-0.1,-0.7,3.2,3.4,1.4,1.8,1.7,-0.7,0.0,-2.8,1.1,4.1,1.0,0.6,2.7,0.9,-0.6,0.9,0.7,0.9,0.6,0.8
